Sample,Cell,Mother,MotherSize,BirthTime,Sb,GrowthRate,DivPar
115,115,115,1.9085104136017115,16.78404705300577,0.95425521,0.03850818,0.5
839,839,839,1.9090480864289339,16.79136197047378,0.95452404,0.03850818,0.5
662,662,662,1.910339378785415,16.80892129955765,0.95516969,0.03850818,0.5
667,667,667,1.911977561652672,16.831180663521195,0.95598878,0.03850818,0.5
554,554,554,1.9130214077591403,16.845354329821376,0.9565107,0.03850818,0.5
84,84,84,1.9135175114397893,16.852087868458415,0.95675876,0.03850818,0.5
910,910,910,1.9139194892625713,16.857542571144833,0.95695974,0.03850818,0.5
278,278,278,1.9145867015473836,16.866593887085415,0.95729335,0.03850818,0.5
786,786,786,1.9150246193890221,16.872532909753062,0.95751231,0.03850818,0.5
881,881,881,1.915790392873338,16.882915033217667,0.9578952,0.03850818,0.5
441,441,441,1.9159608561158223,16.88522555718324,0.95798043,0.03850818,0.5
821,821,821,1.9166468895812212,16.894522239120874,0.95832344,0.03850818,0.5
599,599,599,1.9172918503437761,16.903259296116744,0.95864593,0.03850818,0.5
983,983,983,1.9179933398722093,16.91275879232106,0.95899667,0.03850818,0.5
77,77,77,1.9193220217968077,16.930742142111512,0.95966101,0.03850818,0.5
476,476,476,1.9195800152289042,16.934232569924827,0.95979001,0.03850818,0.5
462,462,462,1.9196321712222626,16.934938138363236,0.95981609,0.03850818,0.5
235,235,235,1.9198117730911484,16.93736765322602,0.95990589,0.03850818,0.5
939,939,939,1.9199896318266119,16.939773364354078,0.95999482,0.03850818,0.5
889,889,889,1.9201956242982265,16.94255933292539,0.96009781,0.03850818,0.5
935,935,935,1.9203541581813264,16.944703238918446,0.96017708,0.03850818,0.5
253,253,253,1.9208028437283782,16.950770002392517,0.96040142,0.03850818,0.5
746,746,746,1.9212415077669163,16.956699893253532,0.96062075,0.03850818,0.5
528,528,528,1.9215959452461813,16.96149021479285,0.96079797,0.03850818,0.5
638,638,638,1.9220061774329573,16.96703351435767,0.96100309,0.03850818,0.5
