S_b,S_d,time
 0.5,1.9703,18.0
 0.5,1.9038,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.9477,18.0
 0.5,1.9291,18.0
 0.5,1.5859,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.9653,18.0
 0.5,1.8961,18.0
 0.5,1.8214,18.0
 1.0,1.0,18.0
 0.5,1.8817,18.0
 1.0,1.0,18.0
 0.5,1.9312,18.0
 0.5,1.9232,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.9328,18.0
 0.5,1.7919,18.0
 1.0,1.0,18.0
 0.5,1.9395,18.0
 0.5,1.8418,18.0
 0.5,1.6538,18.0
 1.0,1.0,18.0
 0.5,1.781,18.0
 1.0,1.0,18.0
 0.5,1.7828,18.0
 0.5,1.8111,18.0
 0.5,1.7191,18.0
 1.0,1.0,18.0
 0.5,1.8743,18.0
 0.5,1.7784,18.0
 0.5,1.9373,18.0
 0.5,1.8759,18.0
 0.5,1.9206,18.0
 0.5,1.8879,18.0
 0.5,1.7603,18.0
 1.0,1.0,18.0
 0.5,1.5502,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.6262,18.0
 0.5,1.3875,18.0
 1.0,1.0,18.0
 0.5,1.7929,18.0
 1.0,1.0,18.0
 0.5,1.7895,18.0
 0.5,1.9052,18.0
 1.0,1.0,18.0
 0.5,1.7602,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.727,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.7229,18.0
 0.5,1.9954,18.0
 1.0,1.0,18.0
 0.5,1.8225,18.0
 1.0,1.0,18.0
 0.5,1.7039,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.7022,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.8238,18.0
 0.5,1.9757,18.0
 0.5,1.9945,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.8025,18.0
 0.5,1.9217,18.0
 0.5,1.7746,18.0
 0.5,1.7584,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.9224,18.0
 0.5,1.7943,18.0
 0.5,1.7617,18.0
 0.5,1.8325,18.0
 0.5,1.8245,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.7329,18.0
 0.5,1.9559,18.0
 0.5,1.8917,18.0
 0.5,1.8666,18.0
 0.5,1.9214,18.0
 1.0,1.0,18.0
 0.5,1.9276,18.0
 0.5,1.839,18.0
 0.5,1.9084,18.0
 1.0,1.0,18.0
 0.5,1.9289,18.0
 0.5,1.8759,18.0
 0.5,1.8887,18.0
 0.5,1.8389,18.0
 0.5,1.8426,18.0
 0.5,1.9475,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.8831,18.0
 0.5,1.9578,18.0
 1.0,1.0,18.0
 0.5,1.9302,18.0
 0.5,1.6514,18.0
 1.0,1.0,18.0
 0.5,1.8805,18.0
 0.5,1.6092,18.0
 1.0,1.0,18.0
 0.5,1.8705,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.9682,18.0
 1.0,1.0,18.0
 0.5,1.9478,18.0
 1.0,1.0,18.0
 0.5,1.7178,18.0
 0.5,1.6189,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.9726,18.0
 0.5,1.8081,18.0
 1.0,1.0,18.0
 0.5,1.8313,18.0
 0.5,1.7745,18.0
 0.5,1.9122,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.9164,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.8149,18.0
 1.0,1.0,18.0
 0.5,1.6341,18.0
 0.5,1.8634,18.0
 1.0,1.0,18.0
 0.5,1.9727,18.0
 0.5,1.5821,18.0
 0.5,1.9692,18.0
 1.0,1.0,18.0
 0.5,1.9782,18.0
 0.5,1.6584,18.0
 0.5,1.842,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.9519,18.0
 0.5,1.9688,18.0
 1.0,1.0,18.0
 0.5,1.9052,18.0
 0.5,1.9144,18.0
 1.0,1.0,18.0
 0.5,1.977,18.0
 0.5,1.8976,18.0
 0.5,1.9664,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.9053,18.0
 0.5,1.9137,18.0
 0.5,1.9613,18.0
 0.5,1.9071,18.0
 1.0,1.0,18.0
 0.5,1.9697,18.0
 0.5,1.5718,18.0
 1.0,1.0,18.0
 0.5,1.8073,18.0
 0.5,1.9328,18.0
 1.0,1.0,18.0
 0.5,1.8587,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.5585,18.0
 0.5,1.8869,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.9295,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
