S_b,S_d,gr,cycletime,time
 1.5,6.3571,0.0385,37.5013,19.8
 3.0,3.0,0.0385,0.0,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,6.2153,0.0385,36.9158,19.8
 1.5,6.0747,0.0385,36.3215,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,6.0751,0.0385,36.3233,19.8
 3.0,3.0,0.0385,0.0,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.0531,0.0385,31.5399,19.8
 1.5,6.0831,0.0385,36.3573,19.8
 1.5,5.8094,0.0385,35.1619,19.8
 1.5,6.0314,0.0385,36.1359,19.8
 1.5,5.986,0.0385,35.9395,19.8
 1.5,6.2133,0.0385,36.9074,19.8
 1.5,6.0945,0.0385,36.4061,19.8
 1.5,6.0348,0.0385,36.1505,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,4.3736,0.0385,27.7897,19.8
 1.5,5.8889,0.0385,35.515,19.8
 1.5,6.1748,0.0385,36.7461,19.8
 1.5,6.2347,0.0385,36.9968,19.8
 1.5,5.9491,0.0385,35.7791,19.8
 1.5,6.2325,0.0385,36.9873,19.8
 1.5,5.7463,0.0385,34.8784,19.8
 3.0,3.0,0.0385,0.0,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,6.3849,0.0385,37.6147,19.8
 3.0,3.0,0.0385,0.0,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.1434,0.0385,32.0001,19.8
 1.5,6.3385,0.0385,37.4255,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,4.2718,0.0385,27.1782,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,4.8267,0.0385,30.3493,19.8
 1.5,5.3137,0.0385,32.8458,19.8
 1.5,4.9349,0.0385,30.9252,19.8
 1.5,4.5115,0.0385,28.5957,19.8
 1.5,6.3538,0.0385,37.4879,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,4.9887,0.0385,31.207,19.8
 1.5,5.6682,0.0385,34.5227,19.8
 1.5,5.7656,0.0385,34.9654,19.8
 3.0,3.0,0.0385,0.0,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.775,0.0385,35.0075,19.8
 3.0,3.0,0.0385,0.0,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.6482,0.0385,34.4312,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.5916,0.0385,34.1698,19.8
 1.5,5.598,0.0385,34.1991,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.3539,0.0385,33.0415,19.8
 1.5,5.4843,0.0385,33.6666,19.8
 1.5,5.4535,0.0385,33.52,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,6.1323,0.0385,36.5665,19.8
 1.5,4.7146,0.0385,29.7395,19.8
 1.5,5.1552,0.0385,32.0594,19.8
 1.5,5.9314,0.0385,35.7015,19.8
 1.5,5.1712,0.0385,32.1397,19.8
 1.5,5.0523,0.0385,31.5359,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.9124,0.0385,35.6184,19.8
 1.5,6.0058,0.0385,36.025,19.8
 1.5,6.2699,0.0385,37.1429,19.8
 1.5,6.3632,0.0385,37.5266,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,4.761,0.0385,29.9936,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.0223,0.0385,31.381,19.8
 1.5,5.7581,0.0385,34.9317,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,6.1083,0.0385,36.4649,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.7136,0.0385,34.7298,19.8
 1.5,5.5175,0.0385,33.8229,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.0626,0.0385,31.5888,19.8
 1.5,6.3122,0.0385,37.3174,19.8
 1.5,6.2455,0.0385,37.0413,19.8
 1.5,5.8444,0.0385,35.3178,19.8
 1.5,4.7348,0.0385,29.8505,19.8
 1.5,5.5858,0.0385,34.1426,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.3507,0.0385,33.0259,19.8
 3.0,3.0,0.0385,0.0,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,6.3458,0.0385,37.4552,19.8
 1.5,5.1427,0.0385,31.9966,19.8
 1.5,6.0293,0.0385,36.1268,19.8
 1.5,5.0346,0.0385,31.4445,19.8
 1.5,6.1736,0.0385,36.7408,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.973,0.0385,35.8831,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,6.3603,0.0385,37.5144,19.8
 1.5,5.4364,0.0385,33.4387,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,6.2936,0.0385,37.2409,19.8
 1.5,5.7081,0.0385,34.7052,19.8
 1.5,5.8856,0.0385,35.5005,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,6.1898,0.0385,36.8089,19.8
 1.5,6.1094,0.0385,36.4695,19.8
 1.5,5.3758,0.0385,33.1475,19.8
 1.5,6.0253,0.0385,36.1093,19.8
 1.5,5.7168,0.0385,34.7446,19.8
 1.5,6.3592,0.0385,37.5102,19.8
 1.5,6.1114,0.0385,36.4777,19.8
 1.5,5.626,0.0385,34.329,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.665,0.0385,34.5082,19.8
 1.5,5.8971,0.0385,35.5509,19.8
 1.5,5.8799,0.0385,35.4751,19.8
 1.5,5.6094,0.0385,34.2521,19.8
 1.5,5.3104,0.0385,32.8294,19.8
 1.5,5.0213,0.0385,31.3761,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.1092,0.0385,31.8266,19.8
 1.5,5.6619,0.0385,34.4939,19.8
 1.5,5.2172,0.0385,32.3697,19.8
 3.0,3.0,0.0385,0.0,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.8201,0.0385,35.2096,19.8
 1.5,6.0706,0.0385,36.3037,19.8
 3.0,3.0,0.0385,0.0,19.8
 3.0,3.0,0.0385,0.0,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,6.1312,0.0385,36.5619,19.8
