Sample,Cell,Mother,MotherSize,BirthTime,Sb,GrowthRate,DivPar
196,196,196,1.9627503170363616,17.511779846532963,0.98137516,0.03850818,0.5
1975,1975,1975,1.9629365459103318,17.514243663279178,0.98146827,0.03850818,0.5
215,215,215,1.9631390487490215,17.51692252007572,0.98156952,0.03850818,0.5
378,378,378,1.963657049301716,17.52377375587001,0.98182852,0.03850818,0.5
1156,1156,1156,1.9640311335077951,17.528720385693433,0.98201557,0.03850818,0.5
525,525,525,1.9642026301092101,17.530987822717723,0.98210132,0.03850818,0.5
354,354,354,1.9642448146506852,17.531545533993558,0.98212241,0.03850818,0.5
1839,1839,1839,1.9651646597265415,17.543703598618745,0.98258233,0.03850818,0.5
1027,1027,1027,1.9652032013244187,17.544212898477525,0.9826016,0.03850818,0.5
1485,1485,1485,1.9662238454255723,17.557696352489884,0.98311192,0.03850818,0.5
30,30,30,1.9663796081735907,17.559753476552363,0.9831898,0.03850818,0.5
1528,1528,1528,1.966404657498426,17.560084282219282,0.98320233,0.03850818,0.5
1898,1898,1898,1.9665151087267854,17.561542869772907,0.98325755,0.03850818,0.5
627,627,627,1.9667122935916952,17.564146633431555,0.98335615,0.03850818,0.5
1462,1462,1462,1.9669943059514863,17.567870063646872,0.98349715,0.03850818,0.5
582,582,582,1.9677937066638298,17.57842171024126,0.98389685,0.03850818,0.5
1682,1682,1682,1.9687251148291507,17.59071037669449,0.98436256,0.03850818,0.5
116,116,116,1.9687665209331282,17.591256539051226,0.98438326,0.03850818,0.5
138,138,138,1.9688826955317449,17.592788865140452,0.98444135,0.03850818,0.5
1072,1072,1072,1.970151506893624,17.609518419096705,0.98507575,0.03850818,0.5
1484,1484,1484,1.9706118795131768,17.61558586857061,0.98530594,0.03850818,0.5
1730,1730,1730,1.9706551467433866,17.616156033202838,0.98532757,0.03850818,0.5
1302,1302,1302,1.9709640827391723,17.620226749968026,0.98548204,0.03850818,0.5
929,929,929,1.971480133321701,17.62702510369725,0.98574007,0.03850818,0.5
1788,1788,1788,1.9724701638110123,17.640062599605542,0.98623508,0.03850818,0.5
1510,1510,1510,1.9725832114095478,17.641550882524857,0.98629161,0.03850818,0.5
495,495,495,1.9739572862821684,17.659633899559374,0.98697864,0.03850818,0.5
953,953,953,1.9746622398006848,17.668906301262076,0.98733112,0.03850818,0.5
993,993,993,1.9747857280284662,17.670530227135295,0.98739286,0.03850818,0.5
1619,1619,1619,1.9751936831799202,17.675894299534235,0.98759684,0.03850818,0.5
942,942,942,1.9753778763214103,17.678315833483797,0.98768894,0.03850818,0.5
618,618,618,1.9754560517279154,17.679343514687485,0.98772803,0.03850818,0.5
1324,1324,1324,1.9755965034237282,17.681189767715626,0.98779825,0.03850818,0.5
89,89,89,1.9756732320962451,17.68219831913815,0.98783662,0.03850818,0.5
1382,1382,1382,1.9761970434280303,17.68908245213056,0.98809852,0.03850818,0.5
545,545,545,1.9765690291492928,17.693970125748162,0.98828451,0.03850818,0.5
524,524,524,1.9766912553711964,17.69557590565047,0.98834563,0.03850818,0.5
1029,1029,1029,1.9778738396002442,17.7111072985729,0.98893692,0.03850818,0.5
1173,1173,1173,1.9784109380592272,17.718158179875896,0.98920547,0.03850818,0.5
1009,1009,1009,1.9792068618134566,17.728603329397952,0.98960343,0.03850818,0.5
300,300,300,1.9792337231145734,17.72895576514707,0.98961686,0.03850818,0.5
1869,1869,1869,1.9795272578033445,17.732806797713806,0.98976363,0.03850818,0.5
1469,1469,1469,1.9804513865233908,17.744927189856824,0.99022569,0.03850818,0.5
86,86,86,1.9808757141778075,17.750490556380882,0.99043786,0.03850818,0.5
1125,1125,1125,1.982934524859063,17.77746674790532,0.99146726,0.03850818,0.5
1509,1509,1509,1.9831097770650576,17.77976174939768,0.99155489,0.03850818,0.5
1196,1196,1196,1.9834391583469513,17.784074587340193,0.99171958,0.03850818,0.5
927,927,927,1.98423816485505,17.79453360790763,0.99211908,0.03850818,0.5
626,626,626,1.9848500167597969,17.802539921779275,0.99242501,0.03850818,0.5
660,660,660,1.984962221757234,17.80400789885541,0.99248111,0.03850818,0.5
1437,1437,1437,1.9850481700147526,17.805132303090268,0.99252409,0.03850818,0.5
1048,1048,1048,1.986096499686888,17.818842990180467,0.99304825,0.03850818,0.5
1565,1565,1565,1.986825150486003,17.8283684618499,0.99341258,0.03850818,0.5
1255,1255,1255,1.986876978454355,17.82904586297811,0.99343849,0.03850818,0.5
630,630,630,1.9869194648963107,17.8296011554496,0.99345973,0.03850818,0.5
146,146,146,1.9872236248990298,17.83357614182177,0.99361181,0.03850818,0.5
563,563,563,1.9887655660277557,17.853718005815956,0.99438278,0.03850818,0.5
1783,1783,1783,1.9895928398026446,17.864517972044727,0.99479642,0.03850818,0.5
562,562,562,1.9897689627664812,17.866816657767288,0.99488448,0.03850818,0.5
1401,1401,1401,1.9905366532169124,17.876833867436364,0.99526833,0.03850818,0.5
1728,1728,1728,1.990773441253549,17.879922816818805,0.99538672,0.03850818,0.5
108,108,108,1.9910532189623784,17.883572101967243,0.99552661,0.03850818,0.5
1185,1185,1185,1.9919808383805833,17.895667853552244,0.99599042,0.03850818,0.5
980,980,980,1.9923946041026313,17.90106136116162,0.9961973,0.03850818,0.5
1644,1644,1644,1.99260001816731,17.903738552904297,0.99630001,0.03850818,0.5
372,372,372,1.9926828554324962,17.904818105086093,0.99634143,0.03850818,0.5
357,357,357,1.9929343696719604,17.908095615126605,0.99646718,0.03850818,0.5
812,812,812,1.9935961904383082,17.916717899378504,0.9967981,0.03850818,0.5
1080,1080,1080,1.9946015140841906,17.929809907537784,0.99730076,0.03850818,0.5
376,376,376,1.9951893750766216,17.93746237606448,0.99759469,0.03850818,0.5
1165,1165,1165,1.99581579055324,17.945614245825727,0.9979079,0.03850818,0.5
1961,1961,1961,1.9961161943641164,17.949522648890746,0.9980581,0.03850818,0.5
432,432,432,1.9962951082849798,17.951850128564402,0.99814755,0.03850818,0.5
1878,1878,1878,1.99638990072124,17.953083192727306,0.99819495,0.03850818,0.5
395,395,395,1.9965904650841197,17.955691949764873,0.99829523,0.03850818,0.5
870,870,870,1.9975221821325515,17.967807434104486,0.99876109,0.03850818,0.5
1254,1254,1254,1.9985960583837317,17.9817644623758,0.99929803,0.03850818,0.5
1574,1574,1574,1.9990200868983483,17.987273440064154,0.99951004,0.03850818,0.5
916,916,916,1.9993731483506312,17.99185952232194,0.99968657,0.03850818,0.5
1599,1599,1599,2.001410601150474,18.018309149591822,1.0007053,0.03850818,0.5
1684,1684,1684,2.001447220637952,18.018784286904253,1.00072361,0.03850818,0.5
1807,1807,1807,2.0019146916684485,18.02484895295008,1.00095735,0.03850818,0.5
1511,1511,1511,2.0023388966529017,18.030351087862996,1.00116945,0.03850818,0.5
1092,1092,1092,2.0032379356819128,18.042008187974282,1.00161897,0.03850818,0.5
674,674,674,2.0034362477795367,18.04457883365428,1.00171812,0.03850818,0.5
1269,1269,1269,2.0035988300411973,18.046686136998396,1.00179942,0.03850818,0.5
502,502,502,2.004563665159896,18.05918829061735,1.00228183,0.03850818,0.5
118,118,118,2.004639154439351,18.060166212789124,1.00231958,0.03850818,0.5
454,454,454,2.004732262140255,18.061372321218467,1.00236613,0.03850818,0.5
1026,1026,1026,2.0049484650282294,18.06417277711757,1.00247423,0.03850818,0.5
1109,1109,1109,2.005164442183315,18.066970007622427,1.00258222,0.03850818,0.5
1285,1285,1285,2.0052230538750155,18.06772906561709,1.00261153,0.03850818,0.5
983,983,983,2.0052822739789473,18.06849598039672,1.00264114,0.03850818,0.5
177,177,177,2.0054582042590066,18.070774186824796,1.0027291,0.03850818,0.5
1940,1940,1940,2.0055386572412512,18.07181594487427,1.00276933,0.03850818,0.5
458,458,458,2.005613596662952,18.072786272128894,1.0028068,0.03850818,0.5
1733,1733,1733,2.006109780923055,18.079210028274797,1.00305489,0.03850818,0.5
1060,1060,1060,2.0064368549018905,18.083443561200657,1.00321843,0.03850818,0.5
56,56,56,2.0065763318320755,18.08524869265269,1.00328817,0.03850818,0.5
1468,1468,1468,2.0067606979546064,18.087634594260333,1.00338035,0.03850818,0.5
713,713,713,2.0079732668498327,18.1033211177547,1.00398663,0.03850818,0.5
915,915,915,2.0080336977372566,18.10410264037795,1.00401685,0.03850818,0.5
1943,1943,1943,2.008991911047281,18.11649159455654,1.00449596,0.03850818,0.5
1692,1692,1692,2.010209240700444,18.132222202675173,1.00510462,0.03850818,0.5
182,182,182,2.010438774920616,18.13518722813581,1.00521939,0.03850818,0.5
298,298,298,2.010554007707993,18.13667562865714,1.005277,0.03850818,0.5
160,160,160,2.0109530231880903,18.141828839994655,1.00547651,0.03850818,0.5
1346,1346,1346,2.012378393063757,18.160228882465976,1.0061892,0.03850818,0.5
1777,1777,1777,2.012720394699199,18.164641829144482,1.0063602,0.03850818,0.5
1071,1071,1071,2.0128386719988987,18.16616782107607,1.00641934,0.03850818,0.5
285,285,285,2.0128797185519134,18.16669737518258,1.00643986,0.03850818,0.5
641,641,641,2.0132424288321467,18.17137634193369,1.00662121,0.03850818,0.5
1582,1582,1582,2.013333316733461,18.17254866481576,1.00666666,0.03850818,0.5
817,817,817,2.0142267394744566,18.18406971383703,1.00711337,0.03850818,0.5
