S_b,S_d,gr,cycletime,time
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.4021,0.0385,26.7767,19.8
 0.5,1.9086,0.0385,34.7865,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.5772,0.0385,29.8331,19.8
 0.5,1.7664,0.0385,32.775,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.8594,0.0385,34.1083,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.9011,0.0385,34.6837,19.8
 0.5,2.1313,0.0385,37.6522,19.8
 0.5,2.0581,0.0385,36.7445,19.8
 0.5,1.8519,0.0385,34.0031,19.8
 0.5,1.987,0.0385,35.8309,19.8
 0.5,1.979,0.0385,35.7266,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.7049,0.0385,31.8546,19.8
 0.5,1.7765,0.0385,32.9233,19.8
 0.5,1.409,0.0385,26.9042,19.8
 0.5,1.5998,0.0385,30.2021,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,2.0441,0.0385,36.567,19.8
 0.5,1.7235,0.0385,32.1368,19.8
 0.5,1.551,0.0385,29.3987,19.8
 0.5,1.8441,0.0385,33.893,19.8
 0.5,1.3985,0.0385,26.7103,19.8
 0.5,2.0321,0.0385,36.4135,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.5136,0.0385,28.7642,19.8
 0.5,1.8304,0.0385,33.6999,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.6226,0.0385,30.5702,19.8
 0.5,1.7043,0.0385,31.8466,19.8
 0.5,1.8257,0.0385,33.6321,19.8
 0.5,1.411,0.0385,26.9413,19.8
 0.5,1.5016,0.0385,28.5571,19.8
 0.5,1.7662,0.0385,32.7728,19.8
 0.5,1.8871,0.0385,34.4924,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.902,0.0385,34.6964,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,2.14,0.0385,37.7577,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.7241,0.0385,32.1464,19.8
 0.5,1.8948,0.0385,34.598,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.7546,0.0385,32.6016,19.8
 0.5,1.8428,0.0385,33.8754,19.8
 0.5,1.7947,0.0385,33.1882,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.475,0.0385,28.0933,19.8
 0.5,1.5401,0.0385,29.216,19.8
 0.5,1.9516,0.0385,35.3645,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.8862,0.0385,34.4793,19.8
 0.5,2.1429,0.0385,37.7928,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.6993,0.0385,31.7689,19.8
 0.5,2.0441,0.0385,36.5669,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.5549,0.0385,29.4642,19.8
 0.5,1.6771,0.0385,31.4286,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,2.0443,0.0385,36.5701,19.8
 0.5,1.5727,0.0385,29.7586,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,2.1379,0.0385,37.7326,19.8
 0.5,1.4228,0.0385,27.1572,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.9291,0.0385,35.0631,19.8
 0.5,1.8849,0.0385,34.4611,19.8
 0.5,1.6394,0.0385,30.837,19.8
 0.5,1.6204,0.0385,30.5357,19.8
 0.5,2.0346,0.0385,36.4461,19.8
 0.5,1.841,0.0385,33.8499,19.8
 0.5,2.0276,0.0385,36.356,19.8
 0.5,1.5193,0.0385,28.8619,19.8
 0.5,1.8969,0.0385,34.6256,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.6723,0.0385,31.3538,19.8
 0.5,1.8326,0.0385,33.7305,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.9034,0.0385,34.7156,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.5018,0.0385,28.5619,19.8
 0.5,1.8616,0.0385,34.1389,19.8
 0.5,1.6754,0.0385,31.4013,19.8
 0.5,1.591,0.0385,30.0596,19.8
 0.5,1.6214,0.0385,30.551,19.8
 1.0,1.0,0.0385,0.0,19.8
