S_b,S_d,gr,cycletime,time
 0.5,1.6307,0.0385,30.6998,18.0
 0.5,1.8708,0.0385,34.267,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9029,0.0385,34.7088,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.5863,0.0385,29.9826,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.8928,0.0385,34.5693,18.0
 0.5,1.9383,0.0385,35.1875,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.7309,0.0385,32.2479,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.975,0.0385,35.6738,18.0
 0.5,1.8611,0.0385,34.1321,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.5848,0.0385,29.9581,18.0
 0.5,1.8342,0.0385,33.7535,18.0
 0.5,1.9553,0.0385,35.4138,18.0
 0.5,1.6424,0.0385,30.8855,18.0
 0.5,1.7567,0.0385,32.6325,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.8918,0.0385,34.5561,18.0
 0.5,1.8625,0.0385,34.151,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.411,0.0385,26.9421,18.0
 0.5,1.7413,0.0385,32.4034,18.0
 0.5,1.8103,0.0385,33.4122,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.8945,0.0385,34.593,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9333,0.0385,35.1195,18.0
 0.5,1.831,0.0385,33.7084,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9002,0.0385,34.6716,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9068,0.0385,34.7613,18.0
 0.5,1.7288,0.0385,32.216,18.0
 0.5,1.8432,0.0385,33.8807,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.5622,0.0385,29.5856,18.0
 0.5,1.9513,0.0385,35.3599,18.0
 0.5,1.4819,0.0385,28.2151,18.0
 0.5,1.795,0.0385,33.1924,18.0
 0.5,1.7259,0.0385,32.1726,18.0
 0.5,1.7136,0.0385,31.988,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.7858,0.0385,33.0595,18.0
 0.5,1.9562,0.0385,35.4251,18.0
 0.5,1.818,0.0385,33.5224,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9379,0.0385,35.1811,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9317,0.0385,35.0984,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9043,0.0385,34.7272,18.0
