Sample,Cell,Mother,MotherSize,BirthTime,Sb,GrowthRate,DivPar
48,199,105,1.3012680348404848,24.83852685483985,0.65063402,0.03850818,0.5
6,6,6,2.6401754584705093,25.211408582419715,1.32008773,0.03850818,0.5
6,200,6,2.6401754584705093,25.211408582419715,1.32008773,0.03850818,0.5
12,12,12,1.3688574018418935,26.15349895861301,0.6844287,0.03850818,0.5
12,201,12,1.3688574018418935,26.15349895861301,0.6844287,0.03850818,0.5
54,117,117,1.3721734351485428,26.21633115106615,0.68608672,0.03850818,0.5
54,202,117,1.3721734351485428,26.21633115106615,0.68608672,0.03850818,0.5
49,122,122,1.4139843208448857,26.995790208927858,0.70699216,0.03850818,0.5
49,203,122,1.4139843208448857,26.995790208927858,0.70699216,0.03850818,0.5
53,53,53,1.414082660694543,26.997596205362385,0.70704133,0.03850818,0.5
53,204,53,1.414082660694543,26.997596205362385,0.70704133,0.03850818,0.5
5,5,5,1.4225350406672326,27.152355424122362,0.71126752,0.03850818,0.5
5,205,5,1.4225350406672326,27.152355424122362,0.71126752,0.03850818,0.5
9,9,9,1.428635274719363,27.26347767756627,0.71431764,0.03850818,0.5
9,206,9,1.428635274719363,27.26347767756627,0.71431764,0.03850818,0.5
36,160,160,1.4321690352507226,27.32763204467889,0.71608452,0.03850818,0.5
36,207,160,1.4321690352507226,27.32763204467889,0.71608452,0.03850818,0.5
10,106,106,1.4372246087318359,27.419139775133107,0.7186123,0.03850818,0.5
10,208,106,1.4372246087318359,27.419139775133107,0.7186123,0.03850818,0.5
95,95,95,1.4419219605865905,27.503875537878592,0.72096098,0.03850818,0.5
95,209,95,1.4419219605865905,27.503875537878592,0.72096098,0.03850818,0.5
25,25,25,1.4451255215289778,27.561506554607902,0.72256276,0.03850818,0.5
25,210,25,1.4451255215289778,27.561506554607902,0.72256276,0.03850818,0.5
52,52,52,1.4836748896140426,28.245149926498883,0.74183744,0.03850818,0.5
52,211,52,1.4836748896140426,28.245149926498883,0.74183744,0.03850818,0.5
75,75,75,1.4843135818230495,28.256326442784058,0.74215679,0.03850818,0.5
75,212,75,1.4843135818230495,28.256326442784058,0.74215679,0.03850818,0.5
85,85,85,1.4846063194014232,28.26144746943643,0.74230316,0.03850818,0.5
85,213,85,1.4846063194014232,28.26144746943643,0.74230316,0.03850818,0.5
79,120,120,1.4907818529078094,28.369244925874057,0.74539093,0.03850818,0.5
79,214,120,1.4907818529078094,28.369244925874057,0.74539093,0.03850818,0.5
55,147,147,1.515214022104941,28.791388565639167,0.75760701,0.03850818,0.5
55,215,147,1.515214022104941,28.791388565639167,0.75760701,0.03850818,0.5
86,123,123,1.5247717216758683,28.954678832525218,0.76238586,0.03850818,0.5
86,216,123,1.5247717216758683,28.954678832525218,0.76238586,0.03850818,0.5
64,102,102,1.558792945877569,29.527727542172457,0.77939647,0.03850818,0.5
64,217,102,1.558792945877569,29.527727542172457,0.77939647,0.03850818,0.5
94,174,174,1.5596215003238962,29.541527071332116,0.77981075,0.03850818,0.5
94,218,174,1.5596215003238962,29.541527071332116,0.77981075,0.03850818,0.5
56,151,151,1.56846681440868,29.688390089818633,0.78423341,0.03850818,0.5
56,219,151,1.56846681440868,29.688390089818633,0.78423341,0.03850818,0.5
25,124,124,1.5697671475638186,29.70991029375581,0.78488357,0.03850818,0.5
